id;title;price;author_id
1;A Tale of Love and Darkness;90;1
2;Suddenly, a Knock on the Door;150;2
3;Sapiens: A Brief History of Humankind;19.90;3
4;My Promised Land: The Triumph and Tragedy of Israel;65;4
5;Let It Be Morning;10;5
6;A Horse Walks into a Bar;15;6
7;The Hilltop;7;7
8;The Same Sea;19;1
9;Between Friends;20;1
10;More Than I Love My Life;20.90;6
11;Bag of Bones;14.2;11
12;Black House;9.4;11
13;Cell;28.51;11
14;Christine;35.45;11
15;Cujo;19.91;11
16;Different Seasons;19;11
17;Doctor Sleep;7;11
18;Dreamcatcher;13.83;11
19;Duma Key;33;11
20;Elevation;32;11
21;End of Watch;40.93;11
22;Everything's Eventual;30;11
23;Finders Keepers;2.54;11
24;Four Past Midnight;13;11
25;From a Buick 8;27;11
26;Full Dark, No Stars;13.97;11
27;Gerald's Game;18.49;11
28;Insomnia;37;11
29;Joyland;23;11
30;Just After Sunset;22;11
31;Lisey's Story;28;11
32;Misery;7.59;11
33;Mr. Mercedes;14.68;11
34;Needful Things;31;11
35;Nightmares and Dreamscapes;1.67;11
36;Pet Sematary;40.95;11
37;Revival;1;11
38;Rose Madder;21;11
39;Skeleton Crew;10;11
40;Danse Macabre;30;11
41;The Dark Half;1.98;11
42;The Dark Tower VI;5;11
43;The Eyes of the Dragon;28;11
44;The Girl Who Loved Tom Gordon;7.84;11
45;The Institute;12;11
46;The Outsider;39;11
47;The Stand;35.5;11
48;The Tommyknockers;5.11;11
49;The Waste Lands;23;11
50;Under the Dome;31;11
51;Wolves of the Calla;24.58;11
